順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
1,2612,intel,Intel  Core Ultra 5 245KF BOX,32780,8657,0.264094,https://www.dospara.co.jp/SBR1887/IC512739.html
2,2562,intel,Intel  Core Ultra 7 265KF BOX,45980,11744,0.255415,https://www.dospara.co.jp/SBR1886/IC512737.html
3,2607,intel,Intel  Core Ultra 5 225F BOX,24850,6235,0.250905,https://www.dospara.co.jp/SBR1887/IC518589.html
4,2605,intel,Intel  Core Ultra 5 245K BOX,34980,8657,0.247484,https://www.dospara.co.jp/SBR1887/IC512738.html
5,2560,intel,Intel  Core Ultra 7 265K BOX,47780,11744,0.245793,https://www.dospara.co.jp/SBR1886/IC512736.html
6,2598,intel,Intel  Core Ultra 5 225 BOX,28370,6091,0.214699,https://www.dospara.co.jp/SBR1887/IC518588.html
7,2606,intel,Intel  Core Ultra 7 265F BOX,52380,9979,0.190512,https://www.dospara.co.jp/SBR1886/IC518586.html
8,2609,intel,Intel  Core Ultra 5 235 BOX,43980,8004,0.181992,https://www.dospara.co.jp/SBR1887/IC518587.html
9,2604,intel,Intel  Core Ultra 7 265 BOX,56860,9979,0.175501,https://www.dospara.co.jp/SBR1886/IC518585.html
10,2601,intel,Intel  Core Ultra 9 285K BOX,96999,13474,0.138909,https://www.dospara.co.jp/SBR1885/IC512735.html
11,2555,amd,AMD  Ryzen 7 9700X BOX,38800,3904,0.100619,https://www.dospara.co.jp/SBR1882/IC509913.html
12,2593,amd,AMD  Ryzen 9 9900X BOX,60980,5731,0.093982,https://www.dospara.co.jp/SBR1881/IC509912.html
13,2617,amd,AMD  Ryzen 5 9600 BOX,33336,3090,0.092693,https://www.dospara.co.jp/SBR1883/IC522584.html
14,2618,amd,AMD  Ryzen 5 9600X BOX,34390,3163,0.091974,https://www.dospara.co.jp/SBR1883/IC509914.html
15,2621,amd,AMD  Ryzen 7 7700 BOX,39800,3622,0.091005,https://www.dospara.co.jp/SBR1882/IC583837.html
16,2620,amd,AMD  Ryzen 7 8700G BOX,39440,3329,0.084407,https://www.dospara.co.jp/SBR1882/IC555727.html
17,2547,amd,AMD  Ryzen 7 7800X3D BOX,48000,3609,0.075188,https://www.dospara.co.jp/SBR1882/IC488570.html
18,3072,amd,AMD  Ryzen 9 9950X BOX,92980,6928,0.074511,https://www.dospara.co.jp/SBR1881/IC509911.html
19,2554,amd,AMD  Ryzen 7 9800X3D BOX,62180,4208,0.067674,https://www.dospara.co.jp/SBR1882/IC516296.html
20,2591,amd,AMD  Ryzen 9 9950X3D BOX,112200,7390,0.065865,https://www.dospara.co.jp/SBR1881/IC522582.html
21,3071,amd,AMD  Ryzen 9 9900X3D BOX,89980,5922,0.065815,https://www.dospara.co.jp/SBR1881/IC522583.html
22,2603,amd,AMD  Ryzen 7 9850X3D BOX,87980,4373,0.049704,https://www.dospara.co.jp/SBR1882/IC593415.html
